n,cohens_d,power
10,0.2,0.14481806784552664
10,0.5,0.4272898267711782
10,0.8,0.7544247592493485
20,0.2,0.21707518167188566
20,0.5,0.6951493382443412
20,0.8,0.9641728006059598
30,0.2,0.28266899879591567
30,0.5,0.8482541909289824
30,0.8,0.9957521766041987
40,0.2,0.343882054207869
40,0.5,0.9281058812331067
40,0.8,0.9995574015342535
50,0.2,0.401221504993195
50,0.5,0.967206745826164
50,0.8,0.9999578749288887
75,0.2,0.5284335592149477
75,0.5,0.9959182721710497
75,0.8,0.9999999098986639
100,0.2,0.633617755352355
100,0.5,0.9995509176311334
100,0.8,0.9999999998506564
200,0.2,0.8797900194043382
200,0.5,0.9999999670461975
200,0.8,1.0
500,0.2,0.9976078516142366
500,0.5,1.0
500,0.8,1.0
